mode,node,layer,head,arrival_time,energy
Clean,HEAD,8,4,inf,0.0
Clean,HEAD,8,5,inf,0.0
Clean,HEAD,8,6,inf,0.0
Clean,HEAD,9,1,7.447188442973709,0.07987220084186468
Clean,HEAD,9,2,4.390035669954392,0.22111856176738975
Clean,HEAD,9,3,inf,0.0
Clean,HEAD,9,4,6.4293985740815405,0.21548676607771255
Clean,HEAD,9,5,inf,0.0
Clean,HEAD,9,6,4.6079772796831175,0.12304518426939748
Clean,HEAD,10,1,8.395891292016712,0.09326754719454156
Clean,HEAD,10,2,7.43886011686362,0.09501461195111727
Clean,HEAD,10,3,7.3178496457472635,0.3150336503444923
Clean,HEAD,10,4,inf,0.0
Clean,HEAD,10,5,inf,0.0
Clean,HEAD,10,6,inf,0.0
Clean,OUT,,,8.271182055197379,0.08485016463615581
Poisoned,PAY,,,0.0,1.0
Poisoned,HEAD,1,1,0.6867071096407347,0.569623437016846
Poisoned,HEAD,1,2,0.8550191980839041,0.2636014580292652
Poisoned,HEAD,1,3,inf,0.0
Poisoned,HEAD,1,4,inf,0.0
Poisoned,HEAD,1,5,inf,0.0
Poisoned,HEAD,1,6,inf,0.0
Poisoned,HEAD,2,1,1.430135630637228,0.4664935981881939
Poisoned,HEAD,2,2,inf,0.0
Poisoned,HEAD,2,3,inf,0.0
Poisoned,HEAD,2,4,inf,0.0
Poisoned,HEAD,2,5,inf,0.0
Poisoned,HEAD,2,6,inf,0.0
Poisoned,HEAD,3,1,1.322825550212096,0.6616028353247974
Poisoned,HEAD,3,2,inf,0.0
Poisoned,HEAD,3,3,inf,0.0
Poisoned,HEAD,3,4,inf,0.0
Poisoned,HEAD,3,5,0.9750191980839041,1.7998519537863176
Poisoned,HEAD,3,6,inf,0.0
Poisoned,HEAD,4,1,2.0138504979853593,0.5617728222304306
Poisoned,HEAD,4,2,inf,0.0
Poisoned,HEAD,4,3,inf,0.0
Poisoned,HEAD,4,4,inf,0.0
Poisoned,HEAD,4,5,inf,0.0
Poisoned,HEAD,4,6,inf,0.0
Poisoned,HEAD,5,1,2.421658851149534,1.0767120851560459
Poisoned,HEAD,5,2,1.6407142031626667,1.2402024491807806
Poisoned,HEAD,5,3,1.3796126949599339,1.0825572784072186
Poisoned,HEAD,5,4,inf,0.0
Poisoned,HEAD,5,5,inf,0.0
Poisoned,HEAD,5,6,inf,0.0
Poisoned,HEAD,6,1,2.89760128796928,0.9528319330550075
Poisoned,HEAD,6,2,inf,0.0
Poisoned,HEAD,6,3,inf,0.0
Poisoned,HEAD,6,4,inf,0.0
Poisoned,HEAD,6,5,inf,0.0
Poisoned,HEAD,6,6,inf,0.0
Poisoned,HEAD,7,1,3.488423863468232,0.7439589536382684
Poisoned,HEAD,7,2,inf,0.0
Poisoned,HEAD,7,3,inf,0.0
Poisoned,HEAD,7,4,1.499612694959934,1.7868087145604705
Poisoned,HEAD,7,5,2.1980673946182594,0.8048123791716494
Poisoned,HEAD,7,6,inf,0.0
Poisoned,HEAD,8,1,4.17287863020408,0.5737186059348226
Poisoned,HEAD,8,2,inf,0.0
Poisoned,HEAD,8,3,inf,0.0
Poisoned,HEAD,8,4,inf,0.0
Poisoned,HEAD,8,5,inf,0.0
Poisoned,HEAD,8,6,inf,0.0
Poisoned,HEAD,9,1,4.928824683187271,0.4437344491214704
Poisoned,HEAD,9,2,1.823972645115132,1.2284364542632764
Poisoned,HEAD,9,3,inf,0.0
Poisoned,HEAD,9,4,3.829992078230777,1.1971487004317365
Poisoned,HEAD,9,5,inf,0.0
Poisoned,HEAD,9,6,2.822095998239545,0.6835843570522082
Poisoned,HEAD,10,1,5.643840511203949,0.5181530399696753
Poisoned,HEAD,10,2,4.882556204797888,0.5278589552839849
Poisoned,HEAD,10,3,4.29287863020408,1.7501869463582906
Poisoned,HEAD,10,4,inf,0.0
Poisoned,HEAD,10,5,inf,0.0
Poisoned,HEAD,10,6,inf,0.0
Poisoned,OUT,,,5.03361423826027,0.471389803534199
Patched,PAY,,,0.0,1.0
Patched,HEAD,1,1,0.8903474883742571,0.1993682029558961
Patched,HEAD,1,2,0.9492567193293664,0.09226051031024282
Patched,HEAD,1,3,inf,0.0
Patched,HEAD,1,4,inf,0.0
Patched,HEAD,1,5,inf,0.0
Patched,HEAD,1,6,inf,0.0
Patched,HEAD,2,1,1.8005474707230298,0.16327275936586785
Patched,HEAD,2,2,inf,0.0
Patched,HEAD,2,3,inf,0.0
Patched,HEAD,2,4,inf,0.0
Patched,HEAD,2,5,inf,0.0
Patched,HEAD,2,6,inf,0.0
Patched,HEAD,3,1,1.7629889425742338,0.23156099236367905
Patched,HEAD,3,2,inf,0.0
Patched,HEAD,3,3,inf,0.0
Patched,HEAD,3,4,inf,0.0
Patched,HEAD,3,5,1.6027852182255002,0.6299481838252111
Patched,HEAD,3,6,inf,0.0
Patched,HEAD,4,1,2.654847674294876,0.1966204877806507
Patched,HEAD,4,2,inf,0.0
Patched,HEAD,4,3,inf,0.0
Patched,HEAD,4,4,inf,0.0
Patched,HEAD,4,5,inf,0.0
Patched,HEAD,4,6,inf,0.0
Patched,HEAD,5,1,3.4475805979023373,0.37684922980461605
Patched,HEAD,5,2,2.5242499711069337,0.4340708572132732
Patched,HEAD,5,3,2.394392942132111,0.3788950474425265
Patched,HEAD,5,4,inf,0.0
Patched,HEAD,5,5,inf,0.0
Patched,HEAD,5,6,inf,0.0
Patched,HEAD,6,1,4.264160450789248,0.3334911765692526
Patched,HEAD,6,2,inf,0.0
Patched,HEAD,6,3,inf,0.0
Patched,HEAD,6,4,inf,0.0
Patched,HEAD,6,5,inf,0.0
Patched,HEAD,6,6,inf,0.0
Patched,HEAD,7,1,5.1209483522138814,0.2603856337733939
Patched,HEAD,7,2,inf,0.0
Patched,HEAD,7,3,inf,0.0
Patched,HEAD,7,4,3.05043226457922,0.6253830500961647
Patched,HEAD,7,5,3.369323588116391,0.28168433271007726
Patched,HEAD,7,6,inf,0.0
Patched,HEAD,8,1,6.010507520571428,0.2008015120771879
Patched,HEAD,8,2,inf,0.0
Patched,HEAD,8,3,inf,0.0
Patched,HEAD,8,4,inf,0.0
Patched,HEAD,8,5,inf,0.0
Patched,HEAD,8,6,inf,0.0
Patched,HEAD,9,1,6.925088639115545,0.15530705719251464
Patched,HEAD,9,2,3.8139582471335394,0.42995275899214674
Patched,HEAD,9,3,inf,0.0
Patched,HEAD,9,4,5.890497227380772,0.4190020451511077
Patched,HEAD,9,5,inf,0.0
Patched,HEAD,9,6,4.237733599383841,0.23925452496827285
Patched,HEAD,10,1,7.825344178921383,0.18135356398938635
Patched,HEAD,10,2,6.908894671679262,0.18475063434939468
Patched,HEAD,10,3,6.673596533397458,0.6125654312254016
Patched,HEAD,10,4,inf,0.0
Patched,HEAD,10,5,inf,0.0
Patched,HEAD,10,6,inf,0.0
Patched,OUT,,,7.582853996217124,0.16498643123696966
